"Timestamp","What is your gender?","What is your university?","What is your field of specialization?","Where do you live?","What is the monthly income of your family?","How many hours do you spend on e-learning per week?","Who is your internet service provider?","How about the internet connection? [Internet connection]","How many months are you studying through e-learning?","Lecturers' details in online sessions [Presentations were clear and organized]","Lecturers' details in online sessions [Stimulated student interest]","Lecturers' details in online sessions [Effectively used time during online lectures]","Lecturers' details in online sessions [Lecturer was available and helpful]","Course content in online sessions [Learning objectives were clear]","Course content in online sessions [Course content was organized and well planned]","Course content in online sessions [Course workload was appropriate]","Course content in online sessions [Course organized to allow all students to participate fully]","Level of practical knowledge you gain through e-learning","Level of satisfaction regarding engagement with extra curricular activities during e-learning process ( Eg : Gavel Club, AIESEC, Chess etc )? ","Level of satisfaction regarding interaction with batch mates during e-learning","Level of satisfaction regarding conducting online exams and assignments. (Eg : Internet connection loss, paper is not in the hand, background distraction, regarding facilities like web cameras )","Do you get enough time for the completion of online exams/assignments?","Do you get what you expect as an undergraduate through e-learning?","Are you comfortable with the process of the conduction of e-learning?","In overall how satisfied are you with the e-learning platform?","Do you prefer e-learning over traditional learning methods(being at university)?"
"2021/11/14 10:16:48 am GMT+5:30","Male","University of Jaffna","Construction Industry","Hambantota","Less than 20000","Between 20 - 30 hours","Mobitel","Satisfactory","Less than 6 months","Strongly disagree","Strongly disagree","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","3","3","3","3","Yes","Yes","Yes","3","Yes"
"2021/11/14 10:23:45 am GMT+5:30","Female","University of Sri Jayewardenepura","Physics","Galle","Between 20000 to 50000","Less than 20 hours","Sri Lanka Telecom","Very good","More than 12 months","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","4","3","1","2","Yes","Yes","Yes","4","No"
"2021/11/14 10:24:09 am GMT+5:30","Male","University of Moratuwa","Engineering","Galle","Between 50000 to 100000","Between 20 - 30 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Neutral","Neutral","Agree","Agree","Strongly agree","Disagree","Agree","3","2","2","3","Yes","No","No","3","No"
"2021/11/14 10:29:51 am GMT+5:30","Male","ICBT Campus","Computing & IT","Galle","Between 20000 to 50000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","Between 6 - 12 months","Neutral","Disagree","Disagree","Disagree","Neutral","Neutral","Neutral","Disagree","3","2","2","3","No","No","Yes","3","Yes"
"2021/11/14 10:30:20 am GMT+5:30","Male","University of Colombo","Computing & IT","Galle","Less than 20000","Between 20 - 30 hours","Dialog Axiata","Poor","More than 12 months","Strongly disagree","Neutral","Strongly disagree","Neutral","Strongly disagree","Neutral","Strongly disagree","Neutral","1","1","1","2","No","No","No","4","No"
"2021/11/14 10:30:22 am GMT+5:30","Male","University of Colombo","Computing & IT","Galle","Less than 20000","Between 20 - 30 hours","Dialog Broadband Networks","Poor","More than 12 months","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","1","2","1","1","Yes","Yes","No","2","Yes"
"2021/11/14 10:32:39 am GMT+5:30","Male","IDM Campus","Computing & IT","Colombo","Between 100000 to 200000","Less than 20 hours","Dialog Axiata","Satisfactory","Between 6 - 12 months","Strongly agree","Agree","Strongly agree","Agree","Agree","Agree","Agree","Strongly agree","5","4","5","3","Yes","Yes","Yes","4","Yes"
"2021/11/14 10:33:07 am GMT+5:30","Female","University of Colombo","Computing & IT","Ratnapura","Between 100000 to 200000","Between 20 - 30 hours","Sri Lanka Telecom","Poor","More than 12 months","Agree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","Disagree","3","1","1","3","No","Yes","Yes","3","No"
"2021/11/14 10:33:32 am GMT+5:30","Female","University of Colombo","Computing & IT","Galle","Between 50000 to 100000","Between 30 - 40 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Neutral","Neutral","Disagree","Strongly disagree","Neutral","Disagree","Strongly disagree","Strongly disagree","3","3","3","3","No","No","No","1","No"
"2021/11/14 10:35:56 am GMT+5:30","Female","University of Colombo","Computing & IT","Matara","Between 50000 to 100000","Between 30 - 40 hours","Mobitel","Very good","More than 12 months","Neutral","Disagree","Neutral","Neutral","Neutral","Agree","Agree","Neutral","2","3","3","1","No","No","No","3","No"
"2021/11/14 10:45:16 am GMT+5:30","Male","University of Colombo","Computing & IT","Galle","Between 20000 to 50000","Less than 20 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Neutral","Strongly disagree","Agree","Agree","Neutral","Neutral","Neutral","Neutral","2","2","1","1","No","No","No","1","No"
"2021/11/14 10:45:40 am GMT+5:30","Female","University of Ruhuna","Engineering","Matale","Between 50000 to 100000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Disagree","Agree","Strongly agree","Agree","Strongly agree","Disagree","Strongly agree","4","3","1","1","Yes","No","No","2","No"
"2021/11/14 10:48:30 am GMT+5:30","Female","Rajarata University","Option 24","Colombo","Between 100000 to 200000","More than 40 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","4","3","3","3","Yes","No","No","4","No"
"2021/11/14 10:54:29 am GMT+5:30","Male","University of Ruhuna","Engineering","Ratnapura","Between 50000 to 100000","Between 30 - 40 hours","Hutch","Very good","Between 6 - 12 months","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","4","3","5","4","Yes","No","No","4","No"
"2021/11/14 11:04:10 am GMT+5:30","Female","University of Peradeniya","Physics","Anuradhapura","Between 20000 to 50000","Between 30 - 40 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Neutral","Agree","Strongly agree","Strongly agree","Agree","Disagree","Neutral","1","3","2","1","No","No","Yes","3","Yes"
"2021/11/14 11:08:51 am GMT+5:30","Female","University of Ruhuna","Engineering","Badulla","Between 50000 to 100000","More than 40 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","2","1","2","1","No","No","Yes","3","Yes"
"2021/11/14 11:12:29 am GMT+5:30","Female","IDM Campus","Computing & IT","Colombo","Between 100000 to 200000","Less than 20 hours","Dialog Broadband Networks","Very good","Between 6 - 12 months","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","3","2","1","2","Yes","Yes","Yes","3","Yes"
"2021/11/14 11:21:25 am GMT+5:30","Male","Uva Wellassa University","Computing & IT","Colombo","Between 50000 to 100000","Between 20 - 30 hours","Sri Lanka Telecom","Poor","More than 12 months","Agree","Strongly agree","Agree","Neutral","Neutral","Agree","Neutral","Strongly agree","5","4","4","4","Yes","Yes","Yes","5","Yes"
"2021/11/14 11:25:21 am GMT+5:30","Male","University of Moratuwa","Engineering","Kandy","Between 100000 to 200000","Between 20 - 30 hours","Dialog Axiata","Satisfactory","More than 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","2","2","2","3","Yes","No","No","2","No"
"2021/11/14 11:33:11 am GMT+5:30","Male","University of Ruhuna","Engineering","Matale","More than 200000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3","3","3","3","Yes","Yes","Yes","3","Yes"
"2021/11/14 11:33:53 am GMT+5:30","Male","University of Moratuwa","Engineering","Ampara","Less than 20000","Between 30 - 40 hours","Hutch","Poor","Between 6 - 12 months","Disagree","Disagree","Neutral","Neutral","Agree","Agree","Agree","Agree","3","2","2","2","No","No","Yes","3","Yes"
"2021/11/14 11:46:43 am GMT+5:30","Male","University of Moratuwa","Engineering","Kalutara","Between 20000 to 50000","Less than 20 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Neutral","Disagree","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","1","2","3","3","Yes","No","No","2","No"
"2021/11/14 11:49:26 am GMT+5:30","Male","University of Moratuwa","Architecture & Design","Galle","Between 50000 to 100000","Between 20 - 30 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Agree","Agree","Agree","Agree","Agree","Neutral","Agree","Agree","4","4","5","4","Yes","Yes","Yes","5","Yes"
"2021/11/14 11:56:54 am GMT+5:30","Female","University of Moratuwa","Engineering","Galle","Less than 20000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","Between 6 - 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","2","2","3","2","No","No","Yes","4","Yes"
"2021/11/14 12:00:42 pm GMT+5:30","Male","University of Moratuwa","Engineering","Colombo","Between 50000 to 100000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","Between 6 - 12 months","Agree","Neutral","Disagree","Neutral","Neutral","Neutral","Disagree","Agree","4","3","2","4","No","No","Yes","4","Yes"
"2021/11/14 12:06:17 pm GMT+5:30","Male","University of Moratuwa","Computing & IT","Matara","Between 100000 to 200000","Between 30 - 40 hours","Sri Lanka Telecom","Poor","More than 12 months","Agree","Neutral","Agree","Strongly agree","Strongly agree","Agree","Neutral","Agree","4","3","3","4","Yes","Yes","Yes","4","Yes"
"2021/11/14 12:06:36 pm GMT+5:30","Male","University of Moratuwa","Engineering","Kalutara","More than 200000","Between 30 - 40 hours","Mobitel","Excellent","More than 12 months","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","4","2","2","3","Yes","Yes","Yes","4","No"
"2021/11/14 12:07:28 pm GMT+5:30","Female","University of Moratuwa","Engineering","Hambantota","Between 50000 to 100000","Between 30 - 40 hours","Sri Lanka Telecom","Very good","More than 12 months","Neutral","Neutral","Agree","Agree","Neutral","Disagree","Agree","Agree","5","4","3","2","No","No","Yes","4","Yes"
"2021/11/14 12:08:36 pm GMT+5:30","Male","University of Moratuwa","Engineering","Gampaha","Between 20000 to 50000","Between 20 - 30 hours","Dialog Axiata","Satisfactory","More than 12 months","Agree","Neutral","Neutral","Agree","Agree","Agree","Neutral","Agree","3","1","3","3","No","No","No","3","No"
"2021/11/14 12:10:53 pm GMT+5:30","Male","University of Moratuwa","Computing & IT","Matara","More than 200000","Less than 20 hours","Sri Lanka Telecom","Excellent","More than 12 months","Agree","Strongly agree","Agree","Agree","Agree","Agree","Neutral","Agree","3","3","2","4","Yes","Yes","Yes","3","No"
"2021/11/14 12:11:07 pm GMT+5:30","Female","University of Moratuwa","Computing & IT","Hambantota","Between 20000 to 50000","Between 20 - 30 hours","Dialog Axiata","Satisfactory","Between 6 - 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","3","2","3","2","No","No","No","3","Yes"
"2021/11/14 12:13:21 pm GMT+5:30","Female","University of Moratuwa","Architecture & Design","Galle","Between 50000 to 100000","Between 20 - 30 hours","Dialog Broadband Networks","Satisfactory","Between 6 - 12 months","Neutral","Agree","Neutral","Agree","Agree","Neutral","Neutral","Agree","4","3","2","2","No","No","No","2","No"
"2021/11/14 12:19:02 pm GMT+5:30","Female","University of Colombo","Computing & IT","Galle","Between 20000 to 50000","More than 40 hours","Mobitel","Satisfactory","More than 12 months","Agree","Agree","Agree","Agree","Agree","Neutral","Disagree","Agree","4","4","4","2","No","No","No","2","No"
"2021/11/14 12:19:36 pm GMT+5:30","Female","University of Colombo","Computing & IT","Matara","Between 20000 to 50000","Between 30 - 40 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Disagree","Disagree","Strongly disagree","Neutral","Neutral","Neutral","Strongly disagree","Disagree","4","2","1","1","No","No","No","3","No"
"2021/11/14 12:19:48 pm GMT+5:30","Female","University of Ruhuna","Engineering","Anuradhapura","Between 20000 to 50000","Less than 20 hours","Sri Lanka Telecom","Poor","Between 6 - 12 months","Agree","Agree","Neutral","Agree","Agree","Agree","Disagree","Neutral","3","3","3","1","No","Yes","No","2","No"
"2021/11/14 12:20:21 pm GMT+5:30","Female","University of Sri Jayewardenepura","Engineering","Kalutara","More than 200000","Less than 20 hours","Dialog Broadband Networks","Satisfactory","More than 12 months","Neutral","Agree","Neutral","Strongly agree","Agree","Agree","Agree","Agree","4","4","3","5","Yes","Yes","Yes","5","Yes"
"2021/11/14 12:24:10 pm GMT+5:30","Female","University of Ruhuna","Engineering","Galle","Between 100000 to 200000","Between 20 - 30 hours","Mobitel","Satisfactory","Between 6 - 12 months","Agree","Neutral","Agree","Agree","Agree","Agree","Agree","Agree","2","2","2","2","Yes","No","No","3","No"
"2021/11/14 12:32:35 pm GMT+5:30","Female","University of Moratuwa","Engineering","Matara","Between 50000 to 100000","Between 20 - 30 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Strongly agree","Neutral","Agree","Agree","Agree","Agree","Agree","Neutral","3","3","3","3","No","No","No","3","No"
"2021/11/14 12:33:41 pm GMT+5:30","Female","Sri Lanka Institute of Information Technology ( SLIIT )","Computing & IT","Galle","Between 50000 to 100000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","5","5","5","5","Yes","Yes","Yes","5","Yes"
"2021/11/14 12:37:52 pm GMT+5:30","Female","University of Colombo","Computing & IT","Galle","Between 50000 to 100000","Between 30 - 40 hours","Sri Lanka Telecom","Very good","More than 12 months","Strongly agree","Agree","Strongly agree","Strongly agree","Strongly agree","Agree","Strongly agree","Strongly agree","5","4","4","4","Yes","Yes","Yes","5","Yes"
"2021/11/14 12:39:23 pm GMT+5:30","Female","University of Colombo","Law & Administration","Galle","Between 20000 to 50000","Between 20 - 30 hours","Dialog Broadband Networks","Poor","More than 12 months","Agree","Neutral","Disagree","Agree","Neutral","Neutral","Neutral","Neutral","2","3","3","1","Yes","Yes","No","1","No"
"2021/11/14 12:50:36 pm GMT+5:30","Male","University of Moratuwa","Engineering","Kurunegala","Between 100000 to 200000","Between 20 - 30 hours","Sri Lanka Telecom","Satisfactory","Between 6 - 12 months","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Agree","3","2","3","3","Yes","Yes","Yes","4","No"
"2021/11/14 12:51:19 pm GMT+5:30","Male","University of Moratuwa","Computing & IT","Gampaha","Between 100000 to 200000","More than 40 hours","Sri Lanka Telecom","Very good","More than 12 months","Agree","Agree","Agree","Agree","Strongly agree","Strongly agree","Agree","Strongly agree","3","2","4","4","Yes","Yes","Yes","4","Yes"
"2021/11/14 12:51:41 pm GMT+5:30","Female","NSBM Green University","Computing & IT","Galle","Between 50000 to 100000","Between 30 - 40 hours","Dialog Broadband Networks","Poor","More than 12 months","Agree","Neutral","Neutral","Neutral","Agree","Neutral","Neutral","Neutral","2","2","2","2","No","No","No","2","No"
"2021/11/14 12:57:23 pm GMT+5:30","Female","University of Ruhuna","Arts & Humanities","Galle","Less than 20000","Between 20 - 30 hours","Dialog Axiata","Poor","More than 12 months","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","1","1","1","1","No","No","No","1","No"
"2021/11/14 1:01:12 pm GMT+5:30","Male","NSBM Green University","Computing & IT","Galle","Between 100000 to 200000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Neutral","Agree","Agree","Neutral","Agree","Agree","Neutral","4","3","2","4","Yes","Yes","Yes","4","Yes"
"2021/11/14 2:05:29 pm GMT+5:30","Female","University of Moratuwa","Architecture & Design","Gampaha","Between 20000 to 50000","Between 20 - 30 hours","Dialog Axiata","Poor","More than 12 months","Neutral","Neutral","Neutral","Neutral","Disagree","Neutral","Neutral","Neutral","2","2","4","4","No","No","No","4","No"
"2021/11/14 2:13:52 pm GMT+5:30","Female","University of Colombo","Law & Administration","Galle","Between 50000 to 100000","Between 20 - 30 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Agree","Agree","Agree","Agree","Strongly agree","Agree","Strongly agree","2","3","2","3","No","Yes","Yes","3","No"
"2021/11/14 2:19:32 pm GMT+5:30","Female","University of Colombo","Law & Administration","Galle","Between 100000 to 200000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","More than 12 months","Agree","Agree","Agree","Agree","Neutral","Neutral","Strongly agree","Neutral","2","1","3","1","No","No","No","2","Yes"
"2021/11/14 2:29:53 pm GMT+5:30","Male","University of Moratuwa","Computing & IT","Colombo","More than 200000","Between 20 - 30 hours","Sri Lanka Telecom","Satisfactory","Between 6 - 12 months","Agree","Agree","Agree","Agree","Agree","Neutral","Neutral","Neutral","3","3","3","3","Yes","Yes","Yes","3","No"
"2021/11/14 2:56:19 pm GMT+5:30","Female","General Sir John Kotelawala Defence University","Medicine & Health","Kandy","Between 50000 to 100000","Less than 20 hours","Sri Lanka Telecom","Satisfactory","Between 6 - 12 months","Neutral","Disagree","Disagree","Neutral","Neutral","Agree","Neutral","Disagree","1","2","2","1","Yes","No","No","3","No"
